SRBFTH01T01 30.943017% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T02 19.437318% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T03 23.450915% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T04 21.088346% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T05 20.703959% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T06 24.308276% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T07 21.547997% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T08 20.972312% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T09 20.087397% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T10 21.374282% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T01 2.705712% 2.718108% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T02 2.706687% 2.790887% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T03 2.878236% 2.887467% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T04 2.807483% 2.729489% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T05 2.488226% 2.457000% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T06 2.920155% 2.966127% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T07 3.030668% 3.018424% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T08 2.781177% 2.746108% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T09 2.558222% 2.495114% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T10 3.191305% 3.170304% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T01 1.050826% 1.061429% 1.060015% 1.046645% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T02 1.020167% 1.035108% 1.029463% 1.006529% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T03 0.974945% 0.984567% 0.962566% 0.977461% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T04 0.969067% 0.994183% 0.982906% 0.980808% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T05 0.949030% 0.938769% 0.964196% 0.957649% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T06 0.984328% 0.992941% 0.985981% 0.978126% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T07 0.983294% 0.976778% 0.969096% 0.960828% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T08 0.940895% 0.954469% 0.954016% 0.938952% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T09 0.968392% 0.973086% 0.949446% 0.974426% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T10 0.980741% 0.986758% 0.989986% 0.980301% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T01 0.291746% 0.280262% 0.262498% 0.273621% 0.276872% 0.273027% 0.284927% 0.274812% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T02 0.280616% 0.288007% 0.273887% 0.282416% 0.279487% 0.280842% 0.269587% 0.278313% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T03 0.291225% 0.280686% 0.272940% 0.284103% 0.268400% 0.285009% 0.271461% 0.293060% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T04 0.272659% 0.274050% 0.263939% 0.250150% 0.255042% 0.267255% 0.271332% 0.265904% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T05 0.252237% 0.257755% 0.269880% 0.254139% 0.257575% 0.248093% 0.264534% 0.263423% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T06 0.264426% 0.261701% 0.266072% 0.281341% 0.261441% 0.275190% 0.275697% 0.275409% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T07 0.269274% 0.266333% 0.272926% 0.280128% 0.263825% 0.264220% 0.275625% 0.275104% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T08 0.262122% 0.268568% 0.259704% 0.277849% 0.266541% 0.266809% 0.273954% 0.265561% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T09 0.267136% 0.266747% 0.267742% 0.263893% 0.259806% 0.262280% 0.260149% 0.269178% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T10 0.249435% 0.260097% 0.271639% 0.269274% 0.261250% 0.269153% 0.269633% 0.263187% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH16T01 0.130922% 0.139484% 0.142034% 0.133669% 0.144586% 0.140571% 0.131421% 0.132455% 0.148685% 0.129088% 0.133534% 0.133550% 0.131475% 0.132050% 0.140150% 0.145095%
SRBFTH16T02 0.137384% 0.144335% 0.142048% 0.125575% 0.142897% 0.138445% 0.134888% 0.127202% 0.135651% 0.142741% 0.140375% 0.132554% 0.141596% 0.135236% 0.143900% 0.148309%
SRBFTH16T03 0.137052% 0.143177% 0.135154% 0.135329% 0.129487% 0.141201% 0.138079% 0.135827% 0.134411% 0.135245% 0.138961% 0.129065% 0.129357% 0.138229% 0.128390% 0.135713%
SRBFTH16T04 0.127805% 0.127409% 0.131106% 0.124759% 0.127587% 0.128256% 0.129378% 0.135729% 0.117977% 0.122324% 0.121765% 0.125063% 0.128145% 0.132885% 0.130881% 0.127893%
SRBFTH16T05 0.148608% 0.134319% 0.143854% 0.138462% 0.138059% 0.132742% 0.133129% 0.139393% 0.134251% 0.138723% 0.144374% 0.139685% 0.138002% 0.136831% 0.133510% 0.141063%
SRBFTH16T06 0.145230% 0.132601% 0.136131% 0.136327% 0.133940% 0.133285% 0.136228% 0.135721% 0.138671% 0.142097% 0.143224% 0.133098% 0.129145% 0.133700% 0.141075% 0.134893%
SRBFTH16T07 0.137504% 0.140863% 0.142157% 0.141686% 0.149469% 0.147838% 0.139915% 0.137741% 0.133315% 0.131112% 0.138437% 0.137316% 0.137944% 0.134688% 0.127281% 0.152462%
SRBFTH16T08 0.132088% 0.125492% 0.126922% 0.121418% 0.131369% 0.130376% 0.117253% 0.126739% 0.132090% 0.128991% 0.127114% 0.132521% 0.136212% 0.128317% 0.132984% 0.135692%
SRBFTH16T09 0.134516% 0.133729% 0.139650% 0.133370% 0.138326% 0.139612% 0.134195% 0.130210% 0.132389% 0.131182% 0.131873% 0.133395% 0.131134% 0.137637% 0.134199% 0.142769%
SRBFTH16T10 0.135045% 0.140866% 0.134345% 0.139667% 0.137433% 0.144457% 0.127525% 0.136733% 0.136025% 0.138988% 0.136974% 0.135355% 0.137058% 0.136982% 0.148211% 0.143845%
SWBFTH01T01 27.285726% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T02 33.458175% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T03 31.071285% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T04 32.815562% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T05 31.880686% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T06 32.341200% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T07 32.709599% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
