SRBFTH01T01 29.205988% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T02 38.173718% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T03 30.464621% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T04 31.298030% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T05 31.204248% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T06 27.429811% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T07 27.701281% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T08 26.891351% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T09 29.762073% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T10 28.557989% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T01 16.161973% 19.678242% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T02 14.810317% 16.675281% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T03 17.465320% 20.519110% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T04 14.700531% 15.941272% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T05 14.336817% 13.752490% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T06 16.403619% 14.122085% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T07 14.366284% 13.375175% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T08 13.520276% 16.159141% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T09 14.875753% 14.689480% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T10 13.664101% 13.545471% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T01 4.215323% 3.555611% 4.054712% 5.275678% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T02 3.776476% 4.164507% 4.144550% 5.352151% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T03 3.931069% 4.404385% 4.420665% 5.390546% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T04 3.795468% 4.367454% 4.358384% 5.276684% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T05 4.338667% 3.571477% 4.564069% 4.470884% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T06 3.576323% 4.383666% 4.412462% 4.718464% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T07 3.472396% 4.206556% 4.517516% 5.042444% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T08 3.280673% 3.263100% 4.315008% 5.335502% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T09 3.878982% 4.137699% 3.726290% 4.698188% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T10 4.030618% 3.623908% 4.313021% 4.825519% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T01 0.612525% 0.605765% 0.619195% 0.626243% 0.656899% 0.620474% 0.634312% 0.687010% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T02 0.632578% 0.643379% 0.613327% 0.606468% 0.626028% 0.613822% 0.612576% 0.650452% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T03 0.615777% 0.650813% 0.608902% 0.607630% 0.612369% 0.642327% 0.606680% 0.660418% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T04 0.524245% 0.552382% 0.547894% 0.521021% 0.552805% 0.555019% 0.551924% 0.606534% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T05 0.592402% 0.624515% 0.613644% 0.629999% 0.573791% 0.606225% 0.620511% 0.646637% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T06 0.595407% 0.603500% 0.577031% 0.599735% 0.569827% 0.612696% 0.605467% 0.677892% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T07 0.569715% 0.595134% 0.596040% 0.581995% 0.576869% 0.534513% 0.577333% 0.595993% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T08 0.611950% 0.579608% 0.648055% 0.603967% 0.581571% 0.583558% 0.577487% 0.641455% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T09 0.503909% 0.511887% 0.496379% 0.511386% 0.521516% 0.506812% 0.496358% 0.525947% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T10 0.523797% 0.571670% 0.555125% 0.561296% 0.553977% 0.563223% 0.588828% 0.565820% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH16T01 0.264184% 0.264961% 0.266702% 0.262139% 0.255583% 0.253543% 0.246551% 0.245117% 0.257159% 0.262920% 0.268693% 0.264828% 0.266324% 0.256091% 0.270837% 0.301125%
SRBFTH16T02 0.257659% 0.266643% 0.270008% 0.247941% 0.271420% 0.259190% 0.256379% 0.264668% 0.259655% 0.260330% 0.270288% 0.260075% 0.274720% 0.275084% 0.281523% 0.318084%
