SRBFTH01T01 34.627982% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T02 29.932793% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T03 28.482194% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T04 27.336971% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T05 29.232792% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T06 27.855516% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T07 28.721649% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T08 28.089539% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T09 27.244382% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T10 31.526862% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T01 15.848307% 13.705906% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T02 16.456919% 15.299995% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T03 15.643009% 15.087126% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T04 17.444442% 19.116234% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T05 15.945578% 15.659296% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T06 16.113685% 18.747276% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T07 12.990734% 14.595563% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T08 12.782467% 15.796775% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T09 13.851772% 15.159727% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T10 14.960110% 15.869215% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T01 3.411839% 4.164011% 3.574050% 4.511018% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T02 4.345508% 3.942633% 3.693283% 4.052083% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T03 3.988972% 4.287337% 3.773352% 4.157201% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T04 3.792715% 4.102213% 3.921833% 4.020492% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T05 4.364581% 4.210871% 4.449359% 4.650385% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T06 4.268643% 4.192053% 4.385631% 4.497441% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T07 4.026521% 3.878692% 4.119014% 4.048452% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T08 4.000496% 3.813143% 4.047778% 4.186281% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T09 4.266741% 3.792968% 4.372343% 4.074203% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T10 3.859424% 3.991839% 4.147844% 4.096523% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T01 0.458143% 0.499183% 0.489750% 0.491186% 0.451933% 0.461708% 0.493105% 0.477485% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T02 0.477928% 0.498461% 0.467879% 0.470927% 0.489546% 0.472788% 0.469752% 0.482748% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T03 0.479706% 0.455696% 0.449162% 0.473865% 0.467597% 0.464954% 0.493854% 0.492122% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T04 0.470546% 0.468299% 0.449225% 0.463856% 0.455091% 0.457984% 0.479752% 0.468118% NaN NaN NaN NaN NaN NaN NaN NaN
