SRBFTH01T01 9.197620% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T02 10.640101% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T03 8.550919% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T04 9.992918% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T05 8.405506% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T06 9.440706% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T07 8.510979% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T08 7.098817% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T09 9.646643% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T10 8.356657% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T01 4.651925% 4.623565% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T02 4.551335% 4.628992% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T03 4.544108% 5.703375% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T04 4.801617% 4.315795% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T05 4.640110% 4.561753% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T06 4.714237% 3.591678% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T07 4.247587% 3.898782% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T08 4.100518% 4.713734% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T09 4.591308% 3.739714% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T10 4.385446% 3.876004% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T01 1.163608% 0.961572% 1.134151% 1.284164% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T02 1.091663% 1.137564% 1.158162% 1.424006% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T03 1.020546% 1.026982% 1.124849% 1.371335% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T04 1.088387% 1.127277% 1.154297% 1.313774% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T05 1.139018% 0.988817% 1.177846% 1.233657% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T06 1.097704% 1.102592% 1.128588% 1.197984% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T07 1.077198% 1.025924% 1.244200% 1.354268% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T08 0.985062% 1.048164% 1.197170% 1.469827% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T09 1.001199% 1.097703% 1.007051% 1.134045% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T10 1.105733% 1.021812% 1.132288% 1.251396% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T01 0.163753% 0.164283% 0.155686% 0.155226% 0.131468% 0.143049% 0.138106% 0.158589% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T02 0.158364% 0.144727% 0.159597% 0.159967% 0.163636% 0.173673% 0.169062% 0.172643% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T03 0.165700% 0.138799% 0.175230% 0.171655% 0.161548% 0.144843% 0.187111% 0.180058% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T04 0.140681% 0.129612% 0.150875% 0.161259% 0.114430% 0.132109% 0.142274% 0.125018% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T05 0.168246% 0.136067% 0.157009% 0.140582% 0.183209% 0.162358% 0.153493% 0.166296% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T06 0.137197% 0.145327% 0.169280% 0.142628% 0.160168% 0.147952% 0.141464% 0.190754% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T07 0.132758% 0.125467% 0.136775% 0.125701% 0.124249% 0.173570% 0.143078% 0.123836% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T08 0.120508% 0.167364% 0.105733% 0.144053% 0.157804% 0.156027% 0.163989% 0.180233% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T09 0.120575% 0.139937% 0.147210% 0.128050% 0.103157% 0.131576% 0.152882% 0.120387% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T10 0.144389% 0.122797% 0.153925% 0.129306% 0.133458% 0.126455% 0.124488% 0.121899% NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH16T01 0.054737% 0.054804% 0.054789% 0.055235% 0.066949% 0.062592% 0.071418% 0.073989% 0.064404% 0.054224% 0.050663% 0.055229% 0.048464% 0.063003% 0.064670% 0.061236%
SRBFTH16T02 0.069662% 0.059403% 0.054091% 0.074606% 0.048900% 0.063457% 0.064656% 0.060905% 0.064914% 0.061598% 0.049755% 0.062436% 0.046903% 0.048675% 0.060258% 0.062210%
SRBFTH16T03 0.043162% 0.050077% 0.050967% 0.059584% 0.062173% 0.068501% 0.063508% 0.069288% 0.060413% 0.053541% 0.053561% 0.045420% 0.046180% 0.073619% 0.055665% 0.071018%
SRBFTH16T04 0.047211% 0.067390% 0.052646% 0.061349% 0.038488% 0.056961% 0.042659% 0.047927% 0.075846% 0.073076% 0.065523% 0.064011% 0.062273% 0.070390% 0.061960% 0.044112%
SRBFTH16T05 0.076029% 0.042962% 0.055257% 0.065122% 0.057152% 0.048421% 0.065244% 0.055993% 0.060412% 0.067441% 0.047241% 0.059946% 0.055156% 0.041000% 0.059776% 0.071558%
SRBFTH16T06 0.059040% 0.051481% 0.064297% 0.042576% 0.047102% 0.056779% 0.044884% 0.056114% 0.059048% 0.053948% 0.050679% 0.067977% 0.050379% 0.058644% 0.050658% 0.079494%
SRBFTH16T07 0.061952% 0.051273% 0.054466% 0.048939% 0.058329% 0.053185% 0.055769% 0.068032% 0.043766% 0.064504% 0.051024% 0.050888% 0.040735% 0.049467% 0.063521% 0.056407%
SRBFTH16T08 0.054247% 0.062275% 0.074107% 0.049515% 0.055586% 0.049339% 0.063289% 0.069905% 0.053170% 0.062891% 0.056838% 0.032306% 0.050855% 0.046288% 0.049302% 0.057182%
SRBFTH16T09 0.053986% 0.071386% 0.046100% 0.074540% 0.047997% 0.066710% 0.063293% 0.071381% 0.060285% 0.042265% 0.059341% 0.059219% 0.049549% 0.061046% 0.054816% 0.052213%
SRBFTH16T10 0.065178% 0.069066% 0.046334% 0.054671% 0.060920% 0.067948% 0.057463% 0.044457% 0.057088% 0.071794% 0.064626% 0.067916% 0.036544% 0.034753% 0.043017% 0.048861%
SWBFTH01T01 6.260624% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T02 7.320136% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T03 6.912504% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T04 6.580008% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T05 6.790202% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T06 6.457896% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T07 7.083258% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T08 6.126425% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T09 6.774006% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH01T10 7.086595% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH02T01 3.630733% 3.956748% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH02T02 4.150612% 4.020074% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH02T03 3.873277% 4.070032% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH02T04 3.862822% 4.327128% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH02T05 3.901723% 4.024536% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH02T06 4.139929% 3.533041% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH02T07 3.995560% 4.245897% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH02T08 3.522960% 4.176334% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH02T09 3.956309% 3.673626% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH02T10 3.761654% 4.023893% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH04T01 2.093604% 1.903775% 1.956871% 1.904246% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH04T02 2.536764% 2.341775% 2.490801% 2.582874% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH04T03 2.438095% 2.208210% 2.385247% 2.414021% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH04T04 2.525341% 2.412303% 2.519740% 2.826748% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH04T05 2.376054% 2.371165% 2.088458% 2.534406% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH04T06 2.150510% 2.304992% 2.261741% 2.396194% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH04T07 2.500827% 2.309886% 2.231439% 2.419724% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH04T08 2.452446% 2.259532% 1.791412% 2.080085% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH04T09 2.470823% 2.330825% 2.511679% 2.219242% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH04T10 2.241743% 2.291667% 2.506658% 2.205882% NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SWBFTH08T01 0.888205% 1.002214% 0.868906% 0.976359% 0.844997% 0.884537% 0.805876% 0.649965% NaN NaN NaN NaN NaN NaN NaN NaN
